City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,saint-philippe,-21.3585,55.7679,71.19,73,20,10.76,RE,1715804861
132,yanam,16.7333,82.2167,80.46,87,100,1.41,IN,1715804861
133,garoowe,8.4054,48.4845,85.73,53,12,14.09,SO,1715804861
134,mokhsogollokh,61.4681,128.9203,37.22,85,92,1.81,RU,1715804861
135,al hazm,16.1641,44.7769,88.83,35,19,6.11,YE,1715804861
136,rio grande,-32.035,-52.0986,59.11,64,37,12.03,BR,1715804834
137,punta arenas,-53.15,-70.9167,46.42,76,0,34.52,CL,1715804670
138,petropavlovsk-kamchatsky,53.0452,158.6483,45.19,79,0,15.66,RU,1715804861
139,el calafate,-50.3408,-72.2768,45.73,59,28,6.71,AR,1715804641
140,farnham,51.2143,-0.7959,61.48,72,0,3.44,GB,1715804638
141,selfoss,63.9331,-20.9971,44.04,76,100,10.33,IS,1715804861
142,bandar abbas,27.1865,56.2808,85.98,66,100,9.22,IR,1715804610
143,brookings,44.3114,-96.7984,69.8,56,40,21.85,US,1715804680
144,broken hill,-31.95,141.4333,52.27,53,100,8.97,AU,1715804862
145,isafjordur,66.0755,-23.124,43.57,61,100,3.33,IS,1715804862
146,harstad,68.799,16.5293,45.79,97,100,7.0,NO,1715804862
147,narvik,68.4384,17.4272,46.38,92,99,3.33,NO,1715804862
148,naze,28.3667,129.4833,65.32,72,100,16.35,JP,1715804862
149,batticaloa,7.7102,81.6924,81.18,82,99,8.57,LK,1715804862
150,puerto armuelles,8.2833,-82.8667,85.98,78,100,1.01,PA,1715804862
151,alaghsas,17.0187,8.0168,94.14,12,3,11.3,NE,1715804794
152,tazacorte,28.629,-17.9293,67.17,74,75,16.11,ES,1715804862
153,altay,47.8667,88.1167,65.05,34,17,6.89,CN,1715804862
154,midvagur,62.0511,-7.1939,52.63,93,100,9.22,FO,1715804862
155,aasiaat,68.7098,-52.8699,25.14,65,98,0.96,GL,1715804863
156,hithadhoo,-0.6,73.0833,84.52,78,90,9.42,MV,1715804863
